gene,GO Focus function
COL5A3,Matrisome/cell adhesion/binding/signaling
COL6A1,Matrisome/cell adhesion/binding/signaling
COL6A2,Matrisome/cell adhesion/binding/signaling
COL6A3,Matrisome/cell adhesion/binding/signaling
COL6A5,Matrisome/cell adhesion/binding/signaling
COL6A6,Matrisome/cell adhesion/binding/signaling
COL7A1,Matrisome/cell adhesion/binding/signaling
COL8A1,Matrisome/cell adhesion/binding/signaling
COL8A2,Matrisome/cell adhesion/binding/signaling
COL9A1,Matrisome/cell adhesion/binding/signaling
COL9A2,Matrisome/cell adhesion/binding/signaling
COL9A3,Matrisome/cell adhesion/binding/signaling
CRIM1,Matrisome/cell adhesion/binding/signaling
CTNNBL1,Matrisome/cell adhesion/binding/signaling
CTNND1,Matrisome/cell adhesion/binding/signaling
CTNND2,Matrisome/cell adhesion/binding/signaling
DCBLD1,Matrisome/cell adhesion/binding/signaling
DCBLD2,Matrisome/cell adhesion/binding/signaling
DCDC2B,Matrisome/cell adhesion/binding/signaling
DCDC2C,Matrisome/cell adhesion/binding/signaling
DPT,Matrisome/cell adhesion/binding/signaling
DSEL,Matrisome/cell adhesion/binding/signaling
EDIL3,Matrisome/cell adhesion/binding/signaling
EFEMP1,Matrisome/cell adhesion/binding/signaling
EFEMP2,Matrisome/cell adhesion/binding/signaling
EMP1,Matrisome/cell adhesion/binding/signaling
EMP2,Matrisome/cell adhesion/binding/signaling
EMP3,Matrisome/cell adhesion/binding/signaling
EPCAM,Matrisome/cell adhesion/binding/signaling
EPCAM-DT,Matrisome/cell adhesion/binding/signaling
EPYC,Matrisome/cell adhesion/binding/signaling
ESAM,Matrisome/cell adhesion/binding/signaling
FER1L5,Matrisome/cell adhesion/binding/signaling
FER1L6,Matrisome/cell adhesion/binding/signaling
FER1L6-AS1,Matrisome/cell adhesion/binding/signaling
FERD3L,Matrisome/cell adhesion/binding/signaling
FERMT1,Matrisome/cell adhesion/binding/signaling
FERMT2,Matrisome/cell adhesion/binding/signaling
FERMT3,Matrisome/cell adhesion/binding/signaling
FLRT1,Matrisome/cell adhesion/binding/signaling
FLRT2,Matrisome/cell adhesion/binding/signaling
FLRT3,Matrisome/cell adhesion/binding/signaling
FMOD,Matrisome/cell adhesion/binding/signaling
GJA1,Matrisome/cell adhesion/binding/signaling
GJA10,Matrisome/cell adhesion/binding/signaling
GJA3,Matrisome/cell adhesion/binding/signaling
GJA4,Matrisome/cell adhesion/binding/signaling
GJA5,Matrisome/cell adhesion/binding/signaling
GJA8,Matrisome/cell adhesion/binding/signaling
GJA9,Matrisome/cell adhesion/binding/signaling
GJB1,Matrisome/cell adhesion/binding/signaling
GJB2,Matrisome/cell adhesion/binding/signaling
GJB3,Matrisome/cell adhesion/binding/signaling
GJB4,Matrisome/cell adhesion/binding/signaling
GJB5,Matrisome/cell adhesion/binding/signaling
GJB6,Matrisome/cell adhesion/binding/signaling
GJB7,Matrisome/cell adhesion/binding/signaling
GJC1,Matrisome/cell adhesion/binding/signaling
GJC2,Matrisome/cell adhesion/binding/signaling
GJC3,Matrisome/cell adhesion/binding/signaling
GJD2,Matrisome/cell adhesion/binding/signaling
GJD2-DT,Matrisome/cell adhesion/binding/signaling
GJD3,Matrisome/cell adhesion/binding/signaling
GJD4,Matrisome/cell adhesion/binding/signaling
GJE1,Matrisome/cell adhesion/binding/signaling
GRHL1,Matrisome/cell adhesion/binding/signaling
GRHL2,Matrisome/cell adhesion/binding/signaling
GRHL3,Matrisome/cell adhesion/binding/signaling
ITGA1,Matrisome/cell adhesion/binding/signaling
ITGA10,Matrisome/cell adhesion/binding/signaling
ITGA11,Matrisome/cell adhesion/binding/signaling
ITGA2,Matrisome/cell adhesion/binding/signaling
ITGA2B,Matrisome/cell adhesion/binding/signaling
ITGA3,Matrisome/cell adhesion/binding/signaling
ITGA4,Matrisome/cell adhesion/binding/signaling
ITGA5,Matrisome/cell adhesion/binding/signaling
ITGA6,Matrisome/cell adhesion/binding/signaling
ITGA7,Matrisome/cell adhesion/binding/signaling
ITGA8,Matrisome/cell adhesion/binding/signaling
ITGA9,Matrisome/cell adhesion/binding/signaling
ITGAD,Matrisome/cell adhesion/binding/signaling
ITGAE,Matrisome/cell adhesion/binding/signaling
ITGAV,Matrisome/cell adhesion/binding/signaling
ITGAX,Matrisome/cell adhesion/binding/signaling
ITGB1,Matrisome/cell adhesion/binding/signaling
ITGB1BP1,Matrisome/cell adhesion/binding/signaling
ITGB1BP2,Matrisome/cell adhesion/binding/signaling
ITGB2,Matrisome/cell adhesion/binding/signaling
ITGB3,Matrisome/cell adhesion/binding/signaling
ITGB3BP,Matrisome/cell adhesion/binding/signaling
ITGB4,Matrisome/cell adhesion/binding/signaling
ITGB5,Matrisome/cell adhesion/binding/signaling
ITGB6,Matrisome/cell adhesion/binding/signaling
ITGB7,Matrisome/cell adhesion/binding/signaling
ITGB8,Matrisome/cell adhesion/binding/signaling
ITGBL1,Matrisome/cell adhesion/binding/signaling
ITIH1,Matrisome/cell adhesion/binding/signaling
ITIH2,Matrisome/cell adhesion/binding/signaling
ITIH3,Matrisome/cell adhesion/binding/signaling
ITIH4,Matrisome/cell adhesion/binding/signaling
ITIH5,Matrisome/cell adhesion/binding/signaling
ITIH6,Matrisome/cell adhesion/binding/signaling
ITM2A,Matrisome/cell adhesion/binding/signaling
ITM2B,Matrisome/cell adhesion/binding/signaling
ITM2C,Matrisome/cell adhesion/binding/signaling
JAM2,Matrisome/cell adhesion/binding/signaling
JAM3,Matrisome/cell adhesion/binding/signaling
JAML,Matrisome/cell adhesion/binding/signaling
JUP,Matrisome/cell adhesion/binding/signaling
KLK1,Matrisome/cell adhesion/binding/signaling
KLK10,Matrisome/cell adhesion/binding/signaling
KLK11,Matrisome/cell adhesion/binding/signaling
KLK12,Matrisome/cell adhesion/binding/signaling
KLK13,Matrisome/cell adhesion/binding/signaling
KLK14,Matrisome/cell adhesion/binding/signaling
KLK15,Matrisome/cell adhesion/binding/signaling
KLK2,Matrisome/cell adhesion/binding/signaling
KLK3,Matrisome/cell adhesion/binding/signaling
KLK4,Matrisome/cell adhesion/binding/signaling
KLK5,Matrisome/cell adhesion/binding/signaling
KLK6,Matrisome/cell adhesion/binding/signaling
KLK7,Matrisome/cell adhesion/binding/signaling
KLK8,Matrisome/cell adhesion/binding/signaling
KLK9,Matrisome/cell adhesion/binding/signaling
LAMA1,Matrisome/cell adhesion/binding/signaling
LAMA2,Matrisome/cell adhesion/binding/signaling
LAMA3,Matrisome/cell adhesion/binding/signaling
LAMA4,Matrisome/cell adhesion/binding/signaling
LAMA5,Matrisome/cell adhesion/binding/signaling
LAMB1,Matrisome/cell adhesion/binding/signaling
LAMB2,Matrisome/cell adhesion/binding/signaling
LAMB3,Matrisome/cell adhesion/binding/signaling
LAMB4,Matrisome/cell adhesion/binding/signaling
LAMC1,Matrisome/cell adhesion/binding/signaling
LAMC2,Matrisome/cell adhesion/binding/signaling
LAMC3,Matrisome/cell adhesion/binding/signaling
LGALS1,Matrisome/cell adhesion/binding/signaling
LGALS12,Matrisome/cell adhesion/binding/signaling
LGALS13,Matrisome/cell adhesion/binding/signaling
LGALS14,Matrisome/cell adhesion/binding/signaling
LGALS16,Matrisome/cell adhesion/binding/signaling
LGALS2,Matrisome/cell adhesion/binding/signaling
LGALS3,Matrisome/cell adhesion/binding/signaling
LGALS3BP,Matrisome/cell adhesion/binding/signaling
LGALS4,Matrisome/cell adhesion/binding/signaling
LGALS7B,Matrisome/cell adhesion/binding/signaling
LGALS8,Matrisome/cell adhesion/binding/signaling
LGALS9,Matrisome/cell adhesion/binding/signaling
LGALS9B,Matrisome/cell adhesion/binding/signaling
LGALS9C,Matrisome/cell adhesion/binding/signaling
LGALSL-DT,Matrisome/cell adhesion/binding/signaling
LIMS1,Matrisome/cell adhesion/binding/signaling
LIMS2,Matrisome/cell adhesion/binding/signaling
LMCD1,Matrisome/cell adhesion/binding/signaling
LOXL1,Matrisome/cell adhesion/binding/signaling
LOXL2,Matrisome/cell adhesion/binding/signaling
LOXL3,Matrisome/cell adhesion/binding/signaling
LOXL4,Matrisome/cell adhesion/binding/signaling
LPXN,Matrisome/cell adhesion/binding/signaling
LRGUK,Matrisome/cell adhesion/binding/signaling
LRRTM1,Matrisome/cell adhesion/binding/signaling
LRRTM2,Matrisome/cell adhesion/binding/signaling
LRRTM3,Matrisome/cell adhesion/binding/signaling
LRRTM4,Matrisome/cell adhesion/binding/signaling
LUM,Matrisome/cell adhesion/binding/signaling
MADCAM1,Matrisome/cell adhesion/binding/signaling
MAGI1,Matrisome/cell adhesion/binding/signaling
MAGI2,Matrisome/cell adhesion/binding/signaling
MAGI3,Matrisome/cell adhesion/binding/signaling
MARCKS,Matrisome/cell adhesion/binding/signaling
MCAM,Matrisome/cell adhesion/binding/signaling
MKLN1,Matrisome/cell adhesion/binding/signaling
MUC1,Matrisome/cell adhesion/binding/signaling
MUC12,Matrisome/cell adhesion/binding/signaling
MUC13,Matrisome/cell adhesion/binding/signaling
MUC16,Matrisome/cell adhesion/binding/signaling
MUC17,Matrisome/cell adhesion/binding/signaling
MUC2,Matrisome/cell adhesion/binding/signaling
MUC20,Matrisome/cell adhesion/binding/signaling
MUC21,Matrisome/cell adhesion/binding/signaling
MUC3A,Matrisome/cell adhesion/binding/signaling
MUC4,Matrisome/cell adhesion/binding/signaling
NECTIN1,Matrisome/cell adhesion/binding/signaling
NECTIN2,Matrisome/cell adhesion/binding/signaling
NECTIN3,Matrisome/cell adhesion/binding/signaling
NECTIN4,Matrisome/cell adhesion/binding/signaling
NEDD9,Matrisome/cell adhesion/binding/signaling
NINJ1,Matrisome/cell adhesion/binding/signaling
NINJ2,Matrisome/cell adhesion/binding/signaling
P3H1,Matrisome/cell adhesion/binding/signaling
P3H2,Matrisome/cell adhesion/binding/signaling
P3H3,Matrisome/cell adhesion/binding/signaling
P3H4,Matrisome/cell adhesion/binding/signaling
P4HA1,Matrisome/cell adhesion/binding/signaling
P4HA2,Matrisome/cell adhesion/binding/signaling
P4HA3,Matrisome/cell adhesion/binding/signaling
P4HTM,Matrisome/cell adhesion/binding/signaling
PALS1,Matrisome/cell adhesion/binding/signaling
PALS2,Matrisome/cell adhesion/binding/signaling
PAPLN,Matrisome/cell adhesion/binding/signaling
PARD3,Matrisome/cell adhesion/binding/signaling
PARD3B,Matrisome/cell adhesion/binding/signaling
PARD6A,Matrisome/cell adhesion/binding/signaling
PARD6B,Matrisome/cell adhesion/binding/signaling
PARD6G,Matrisome/cell adhesion/binding/signaling
PCOLCE,Matrisome/cell adhesion/binding/signaling
PCOLCE2,Matrisome/cell adhesion/binding/signaling
PDPN,Matrisome/cell adhesion/binding/signaling
PECAM1,Matrisome/cell adhesion/binding/signaling
PHACTR1,Matrisome/cell adhesion/binding/signaling
PHACTR2,Matrisome/cell adhesion/binding/signaling
PHACTR3,Matrisome/cell adhesion/binding/signaling
PHACTR4,Matrisome/cell adhesion/binding/signaling
PKP1,Matrisome/cell adhesion/binding/signaling
PKP2,Matrisome/cell adhesion/binding/signaling
PKP3,Matrisome/cell adhesion/binding/signaling
PKP4,Matrisome/cell adhesion/binding/signaling
PLEC,Matrisome/cell adhesion/binding/signaling
PLET1,Matrisome/cell adhesion/binding/signaling
PLOD1,Matrisome/cell adhesion/binding/signaling
PLOD2,Matrisome/cell adhesion/binding/signaling
PLOD3,Matrisome/cell adhesion/binding/signaling
PODXL,Matrisome/cell adhesion/binding/signaling
PODXL2,Matrisome/cell adhesion/binding/signaling
PTK2,Matrisome/cell adhesion/binding/signaling
RAP1A,Matrisome/cell adhesion/binding/signaling
RAP1B,Matrisome/cell adhesion/binding/signaling
RELL1,Matrisome/cell adhesion/binding/signaling
RELL2,Matrisome/cell adhesion/binding/signaling
RELN,Matrisome/cell adhesion/binding/signaling
SBSPON,Matrisome/cell adhesion/binding/signaling
SCUBE1,Matrisome/cell adhesion/binding/signaling
SCUBE2,Matrisome/cell adhesion/binding/signaling
SCUBE3,Matrisome/cell adhesion/binding/signaling
SDC1,Matrisome/cell adhesion/binding/signaling
SDC2,Matrisome/cell adhesion/binding/signaling
SDC3,Matrisome/cell adhesion/binding/signaling
SDC4,Matrisome/cell adhesion/binding/signaling
SH3PXD2A,Matrisome/cell adhesion/binding/signaling
SH3PXD2B,Matrisome/cell adhesion/binding/signaling
SMOC1,Matrisome/cell adhesion/binding/signaling
SMOC2,Matrisome/cell adhesion/binding/signaling
SORBS1,Matrisome/cell adhesion/binding/signaling
SORBS2,Matrisome/cell adhesion/binding/signaling
SORBS3,Matrisome/cell adhesion/binding/signaling
SPARC,Matrisome/cell adhesion/binding/signaling
SPARCL1,Matrisome/cell adhesion/binding/signaling
SPOCK1,Matrisome/cell adhesion/binding/signaling
SPOCK2,Matrisome/cell adhesion/binding/signaling
SPOCK3,Matrisome/cell adhesion/binding/signaling
SPRING1,Matrisome/cell adhesion/binding/signaling
ST8SIA1,Matrisome/cell adhesion/binding/signaling
ST8SIA2,Matrisome/cell adhesion/binding/signaling
ST8SIA3,Matrisome/cell adhesion/binding/signaling
ST8SIA4,Matrisome/cell adhesion/binding/signaling
ST8SIA5,Matrisome/cell adhesion/binding/signaling
ST8SIA6,Matrisome/cell adhesion/binding/signaling
ST8SIA6-AS1,Matrisome/cell adhesion/binding/signaling
SVEP1,Matrisome/cell adhesion/binding/signaling
TGFBI,Matrisome/cell adhesion/binding/signaling
THSD1,Matrisome/cell adhesion/binding/signaling
THSD4,Matrisome/cell adhesion/binding/signaling
THSD7B,Matrisome/cell adhesion/binding/signaling
TJP1,Matrisome/cell adhesion/binding/signaling
TJP2,Matrisome/cell adhesion/binding/signaling
TJP3,Matrisome/cell adhesion/binding/signaling
TLL1,Matrisome/cell adhesion/binding/signaling
TLL2,Matrisome/cell adhesion/binding/signaling
TNS1,Matrisome/cell adhesion/binding/signaling
TNS2,Matrisome/cell adhesion/binding/signaling
TNS3,Matrisome/cell adhesion/binding/signaling
TNS4,Matrisome/cell adhesion/binding/signaling
TNXA,Matrisome/cell adhesion/binding/signaling
TNXB,Matrisome/cell adhesion/binding/signaling
TSPAN1,Matrisome/cell adhesion/binding/signaling
TSPAN10,Matrisome/cell adhesion/binding/signaling
TSPAN11,Matrisome/cell adhesion/binding/signaling
TSPAN12,Matrisome/cell adhesion/binding/signaling
TSPAN13,Matrisome/cell adhesion/binding/signaling
TSPAN14,Matrisome/cell adhesion/binding/signaling
TSPAN15,Matrisome/cell adhesion/binding/signaling
TSPAN16,Matrisome/cell adhesion/binding/signaling
TSPAN17,Matrisome/cell adhesion/binding/signaling
TSPAN18,Matrisome/cell adhesion/binding/signaling
TSPAN19,Matrisome/cell adhesion/binding/signaling
TSPAN2,Matrisome/cell adhesion/binding/signaling
TSPAN3,Matrisome/cell adhesion/binding/signaling
TSPAN31,Matrisome/cell adhesion/binding/signaling
TSPAN32,Matrisome/cell adhesion/binding/signaling
TSPAN33,Matrisome/cell adhesion/binding/signaling
TSPAN4,Matrisome/cell adhesion/binding/signaling
TSPAN5,Matrisome/cell adhesion/binding/signaling
TSPAN6,Matrisome/cell adhesion/binding/signaling
TSPAN7,Matrisome/cell adhesion/binding/signaling
TSPAN8,Matrisome/cell adhesion/binding/signaling
TSPAN9,Matrisome/cell adhesion/binding/signaling
VCAM1,Matrisome/cell adhesion/binding/signaling
VCAN,Matrisome/cell adhesion/binding/signaling
VEZT,Matrisome/cell adhesion/binding/signaling
VSIG1,Matrisome/cell adhesion/binding/signaling
VSIG2,Matrisome/cell adhesion/binding/signaling
VSIG4,Matrisome/cell adhesion/binding/signaling
VSIG8,Matrisome/cell adhesion/binding/signaling
ZCRB1,Matrisome/cell adhesion/binding/signaling
DAO,Metabolism (other)
DAOA,Metabolism (other)
DCK,Metabolism (other)
DHDDS,Metabolism (other)
DHDH,Metabolism (other)
DHFR,Metabolism (other)
DMTN,Metabolism (other)
DPH1,Metabolism (other)
DPH2,Metabolism (other)
DPH3,Metabolism (other)
DPH3P1,Metabolism (other)
DPH5,Metabolism (other)
DPH6,Metabolism (other)
DPH6-DT,Metabolism (other)
DPH7,Metabolism (other)
DPM1,Metabolism (other)
DPM2,Metabolism (other)
DPM3,Metabolism (other)
DPP10,Metabolism (other)
DPP3,Metabolism (other)
DPP4,Metabolism (other)
DPP6,Metabolism (other)
DPP7,Metabolism (other)
DPP8,Metabolism (other)
DPP9,Metabolism (other)
ENO1,Metabolism (other)
ENO2,Metabolism (other)
ENO3,Metabolism (other)
ENO4,Metabolism (other)
ENPP1,Metabolism (other)
ENPP2,Metabolism (other)
ENPP3,Metabolism (other)
ENPP4,Metabolism (other)
ENPP5,Metabolism (other)
ENPP6,Metabolism (other)
ENPP7,Metabolism (other)
ENTHD1,Metabolism (other)
ENTPD1,Metabolism (other)
ENTPD2,Metabolism (other)
ENTPD4,Metabolism (other)
ENTPD5,Metabolism (other)
ENTPD6,Metabolism (other)
ENTPD7,Metabolism (other)
ENTPD8,Metabolism (other)
ENTR1,Metabolism (other)
EOGT,Metabolism (other)
EPHX1,Metabolism (other)
EPHX2,Metabolism (other)
EPM2A,Metabolism (other)
EPM2AIP1,Metabolism (other)
FOXA1,Metabolism (other)
FOXA2,Metabolism (other)
FOXA3,Metabolism (other)
FOXB1,Metabolism (other)
FOXC1,Metabolism (other)
FOXC2,Metabolism (other)
FTCD,Metabolism (other)
FUT1,Metabolism (other)
FUT10,Metabolism (other)
FUT11,Metabolism (other)
FUT2,Metabolism (other)
FUT3,Metabolism (other)
FUT4,Metabolism (other)
FUT5,Metabolism (other)
FUT6,Metabolism (other)
FUT7,Metabolism (other)
FUT8,Metabolism (other)
FUT9,Metabolism (other)
G6PC1,Metabolism (other)
G6PC2,Metabolism (other)
G6PC3,Metabolism (other)
GANAB,Metabolism (other)
GBA,Metabolism (other)
GBE1,Metabolism (other)
GCDH,Metabolism (other)
GCFC2,Metabolism (other)
GCG,Metabolism (other)
GCGR,Metabolism (other)
GCK,Metabolism (other)
GCKR,Metabolism (other)
GIP,Metabolism (other)
GK,Metabolism (other)
GK2,Metabolism (other)
GK5,Metabolism (other)
GLS,Metabolism (other)
GLS2,Metabolism (other)
GLUD1,Metabolism (other)
GLUD2,Metabolism (other)
GLUL,Metabolism (other)
GLYAT,Metabolism (other)
GMPR2,Metabolism (other)
GMPS,Metabolism (other)
GPD1,Metabolism (other)
GPD1L,Metabolism (other)
GPD2,Metabolism (other)
GSTM1,Metabolism (other)
GSTM2,Metabolism (other)
GSTM3,Metabolism (other)
GSTM4,Metabolism (other)
GSTM5,Metabolism (other)
GSTO1,Metabolism (other)
GSTO2,Metabolism (other)
GSTP1,Metabolism (other)
GSTT1,Metabolism (other)
GSTT2,Metabolism (other)
GSTT2B,Metabolism (other)
GSTT4,Metabolism (other)
GYS1,Metabolism (other)
GYS2,Metabolism (other)
HS2ST1,Metabolism (other)
HS3ST1,Metabolism (other)
HS3ST2,Metabolism (other)
HS3ST3A1,Metabolism (other)
HS3ST3B1,Metabolism (other)
HS3ST4,Metabolism (other)
HS3ST5,Metabolism (other)
HS3ST6,Metabolism (other)
HS6ST1,Metabolism (other)
HS6ST2,Metabolism (other)
HS6ST3,Metabolism (other)
IDH1,Metabolism (other)
IDH2,Metabolism (other)
IDH3A,Metabolism (other)
IDH3B,Metabolism (other)
IDH3G,Metabolism (other)
IDS,Metabolism (other)
IDUA,Metabolism (other)
INPP1,Metabolism (other)
INPP4A,Metabolism (other)
INPP4B,Metabolism (other)
INPP5A,Metabolism (other)
INPP5B,Metabolism (other)
INPP5D,Metabolism (other)
INPP5E,Metabolism (other)
INPP5F,Metabolism (other)
INPP5J,Metabolism (other)
INPP5K,Metabolism (other)
INPPL1,Metabolism (other)
INS,Metabolism (other)
IP6K1,Metabolism (other)
IP6K2,Metabolism (other)
IP6K3,Metabolism (other)
KBTBD11,Metabolism (other)
KBTBD11-OT1,Metabolism (other)
KBTBD13,Metabolism (other)
KBTBD2,Metabolism (other)
KBTBD6,Metabolism (other)
KBTBD7,Metabolism (other)
KBTBD8,Metabolism (other)
KCMF1,Metabolism (other)
KLHDC1,Metabolism (other)
KLHDC10,Metabolism (other)
KLHDC2,Metabolism (other)
KLHDC3,Metabolism (other)
KLHDC4,Metabolism (other)
KLHDC8B,Metabolism (other)
KLHL1,Metabolism (other)
KLHL10,Metabolism (other)
KLHL12,Metabolism (other)
KLHL13,Metabolism (other)
KLHL15,Metabolism (other)
KLHL17,Metabolism (other)
KLHL18,Metabolism (other)
KLHL2,Metabolism (other)
KLHL20,Metabolism (other)
KLHL21,Metabolism (other)
KLHL22,Metabolism (other)
KLHL24,Metabolism (other)
KLHL25,Metabolism (other)
KLHL28,Metabolism (other)
KLHL29,Metabolism (other)
KLHL3,Metabolism (other)
KLHL31,Metabolism (other)
KLHL32,Metabolism (other)
KLHL4,Metabolism (other)
KLHL40,Metabolism (other)
KLHL41,Metabolism (other)
KLHL42,Metabolism (other)
KLHL5,Metabolism (other)
KLHL6,Metabolism (other)
KLHL7,Metabolism (other)
KLHL8,Metabolism (other)
KLHL9,Metabolism (other)
LPCAT1,Metabolism (other)
LPCAT2,Metabolism (other)
LPCAT3,Metabolism (other)
LPCAT4,Metabolism (other)
LPGAT1,Metabolism (other)
MAN1A1,Metabolism (other)
MAN1A2,Metabolism (other)
MAN1B1,Metabolism (other)
MAN1C1,Metabolism (other)
MAN2A1,Metabolism (other)
MAN2A2,Metabolism (other)
MAN2B1,Metabolism (other)
MAN2B2,Metabolism (other)
MAN2C1,Metabolism (other)
MANBA,Metabolism (other)
METAP1,Metabolism (other)
METAP1D,Metabolism (other)
METAP2,Metabolism (other)
MMAA,Metabolism (other)
MMAB,Metabolism (other)
MMACHC,Metabolism (other)
MMADHC,Metabolism (other)
MPHOSPH10,Metabolism (other)
MPHOSPH6,Metabolism (other)
MPHOSPH8,Metabolism (other)
MPHOSPH9,Metabolism (other)
MPI,Metabolism (other)
MTHFD1,Metabolism (other)
MTHFD1L,Metabolism (other)
MTHFD2,Metabolism (other)
MTHFD2L,Metabolism (other)
MTHFR,Metabolism (other)
MTHFS,Metabolism (other)
MTHFSD,Metabolism (other)
NOS1,Metabolism (other)
NOS1AP,Metabolism (other)
NOS2,Metabolism (other)
NOS3,Metabolism (other)
NOSIP,Metabolism (other)
NOSTRIN,Metabolism (other)
NOVA2,Metabolism (other)
NOX1,Metabolism (other)
NOX3,Metabolism (other)
NOX4,Metabolism (other)
NOX5,Metabolism (other)
NPEPL1,Metabolism (other)
NPL,Metabolism (other)
NQO1,Metabolism (other)
NQO2,Metabolism (other)
NR0B2,Metabolism (other)
NR1I2,Metabolism (other)
NR1I3,Metabolism (other)
NUB1,Metabolism (other)
OAT,Metabolism (other)
OAZ1,Metabolism (other)
OAZ2,Metabolism (other)
OAZ3,Metabolism (other)
OCA2,Metabolism (other)
OGA,Metabolism (other)
OGDH,Metabolism (other)
OGDHL,Metabolism (other)
OGFOD1,Metabolism (other)
OGFOD2,Metabolism (other)
OGFOD3,Metabolism (other)
OSCP1,Metabolism (other)
OST4,Metabolism (other)
OSTC,Metabolism (other)
OXCT1,Metabolism (other)
OXCT2,Metabolism (other)
PADI2,Metabolism (other)
PADI4,Metabolism (other)
PADI6,Metabolism (other)
PANK1,Metabolism (other)
PANK2,Metabolism (other)
PANK3,Metabolism (other)
PANK4,Metabolism (other)
PAOX,Metabolism (other)
PAQR3,Metabolism (other)
PAQR5,Metabolism (other)
PAQR6,Metabolism (other)
PAQR7,Metabolism (other)
PAQR8,Metabolism (other)
PAQR9,Metabolism (other)
PC,Metabolism (other)
PCK1,Metabolism (other)
PCK2,Metabolism (other)
PCSK1,Metabolism (other)
PCSK1N,Metabolism (other)
PCSK2,Metabolism (other)
PCSK4,Metabolism (other)
PCSK5,Metabolism (other)
PCSK6,Metabolism (other)
PCSK7,Metabolism (other)
PCSK9,Metabolism (other)
PCYOX1,Metabolism (other)
PCYOX1L,Metabolism (other)
PCYT1A,Metabolism (other)
PCYT1B,Metabolism (other)
PCYT2,Metabolism (other)
PDCD4,Metabolism (other)
PDE10A,Metabolism (other)
PDE11A,Metabolism (other)
PDE12,Metabolism (other)
PDE1A,Metabolism (other)
PDE1B,Metabolism (other)
PDE1C,Metabolism (other)
PDE2A,Metabolism (other)
PDE3A,Metabolism (other)
PDE3B,Metabolism (other)
PDE4A,Metabolism (other)
PDE4B,Metabolism (other)
PDE4C,Metabolism (other)
PDE4D,Metabolism (other)
PDE4DIP,Metabolism (other)
PDE6A,Metabolism (other)
PDE6B,Metabolism (other)
PDE6C,Metabolism (other)
PDE6D,Metabolism (other)
PDE6G,Metabolism (other)
PDE6H,Metabolism (other)
PDE7A,Metabolism (other)
PDE7B,Metabolism (other)
PDE8A,Metabolism (other)
PDE8B,Metabolism (other)
PDE9A,Metabolism (other)
PDHB,Metabolism (other)
PDHX,Metabolism (other)
PDSS1,Metabolism (other)
PDSS2,Metabolism (other)
PEMT,Metabolism (other)
PEPD,Metabolism (other)
PGAM1,Metabolism (other)
PGAM2,Metabolism (other)
PGAM4,Metabolism (other)
PGK1,Metabolism (other)
PGK2,Metabolism (other)
PGM1,Metabolism (other)
PGM2,Metabolism (other)
PGM3,Metabolism (other)
PGP,Metabolism (other)
PHGDH,Metabolism (other)
PHKA1,Metabolism (other)
PHKA2,Metabolism (other)
PHOSPHO1,Metabolism (other)
PHOSPHO2,Metabolism (other)
PHYHIP,Metabolism (other)
PHYKPL,Metabolism (other)
PI4K2A,Metabolism (other)
PI4K2B,Metabolism (other)
PI4KA,Metabolism (other)
PI4KAP1,Metabolism (other)
PI4KAP2,Metabolism (other)
PI4KB,Metabolism (other)
PIK3AP1,Metabolism (other)
PIK3C2A,Metabolism (other)
PIK3C2B,Metabolism (other)
PIK3C2G,Metabolism (other)
PIK3C3,Metabolism (other)
PIK3CA,Metabolism (other)
PIK3CB,Metabolism (other)
PIK3CD,Metabolism (other)
PIK3CG,Metabolism (other)
PIK3IP1,Metabolism (other)
PIK3R1,Metabolism (other)
PIK3R2,Metabolism (other)
PIK3R3,Metabolism (other)
PIK3R4,Metabolism (other)
PIK3R5,Metabolism (other)
PIK3R6,Metabolism (other)
PIKFYVE,Metabolism (other)
PIPOX,Metabolism (other)
PJA1,Metabolism (other)
PJA2,Metabolism (other)
PKLR,Metabolism (other)
PKM,Metabolism (other)
PMVK,Metabolism (other)
PNPO,Metabolism (other)
POGLUT1,Metabolism (other)
POGLUT2,Metabolism (other)
POGLUT3,Metabolism (other)
PPIP5K1,Metabolism (other)
PPIP5K2,Metabolism (other)
PPM1A,Metabolism (other)
PPM1B,Metabolism (other)
PPM1D,Metabolism (other)
PPM1E,Metabolism (other)
PPM1F,Metabolism (other)
PPM1G,Metabolism (other)
PPM1H,Metabolism (other)
PPM1J,Metabolism (other)
PPM1K,Metabolism (other)
PPM1L,Metabolism (other)
PPM1M,Metabolism (other)
PPM1N,Metabolism (other)
PPME1,Metabolism (other)
PPOX,Metabolism (other)
PPP1CA,Metabolism (other)
PPP1CB,Metabolism (other)
PPP1CC,Metabolism (other)
PPP1R10,Metabolism (other)
PPP1R11,Metabolism (other)
PPP1R12A,Metabolism (other)
PPP1R12B,Metabolism (other)
PPP1R13B,Metabolism (other)
PPP1R13L,Metabolism (other)
PPP1R14A,Metabolism (other)
PPP1R14B,Metabolism (other)
PPP1R14C,Metabolism (other)
PPP1R14D,Metabolism (other)
PPP1R15A,Metabolism (other)
PPP1R15B,Metabolism (other)
PPP1R16A,Metabolism (other)
PPP1R16B,Metabolism (other)
PPP1R17,Metabolism (other)
PPP1R18,Metabolism (other)
PPP1R1A,Metabolism (other)
PPP1R1B,Metabolism (other)
PPP1R1C,Metabolism (other)
PPP1R2,Metabolism (other)
PPP1R26,Metabolism (other)
